Date,Share Code,High,Low,Previous,Open,Close,Total Shares Traded,Last
8/17/2017,CAL,0.91,0.49,0.91,0.91,0.91,2200,0.91
8/18/2017,CAL,0.91,0.49,0.91,0.91,0.91,700,0.91
8/21/2017,CAL,0.92,0.49,0.91,0.91,0.92,89400,0.92
8/22/2017,CAL,0.95,0.49,0.92,0.92,0.95,50000,0.95
8/23/2017,CAL,0.97,0.49,0.95,0.95,0.96,120000,0.97
8/24/2017,CAL,0.99,0.49,0.96,0.96,0.98,50200,0.99
8/25/2017,CAL,1,0.49,0.98,0.98,1,233000,0.99
8/28/2017,CAL,1,0.49,1,1,1,5400,0.99
8/29/2017,CAL,1,0.49,1,1,1,1001800,0.99
8/30/2017,CAL,1,0.49,1,1,1,75300,0.99
8/31/2017,CAL,1,0.49,1,1,1,3100,0.99
9/4/2017,CAL,1,0.49,1,1,1,8400,0.99
9/5/2017,CAL,1,0.49,1,1,1,10300,0.99
9/6/2017,CAL,1,0.49,1,1,1,4600,0.99
9/7/2017,CAL,1,0.49,1,1,1,162400,0.99
9/8/2017,CAL,1,0.49,1,1,1,5400,0.99
9/11/2017,CAL,1,0.49,1,1,1,9100,0.99
9/12/2017,CAL,1,0.49,1,1,1,1200,0.99
9/13/2017,CAL,1.01,0.49,1,1,1.01,873100,1.01
9/14/2017,CAL,1.01,0.49,1.01,1.01,1,595100,1
9/15/2017,CAL,1.01,0.49,1,1,1,0,1
9/18/2017,CAL,1.01,0.49,1,1,1,48300,1
9/19/2017,CAL,1.01,0.49,1,1,1,1800,1
9/20/2017,CAL,1.01,0.49,1,1,1,19400,1
9/22/2017,CAL,1.01,0.49,1,1,1,26400,1
9/25/2017,CAL,1.01,0.49,1,1,1,200,1
9/26/2017,CAL,1.01,0.49,1,1,1,2000,1
9/27/2017,CAL,1.01,0.49,1,1,1,5000,1
9/28/2017,CAL,1.01,0.49,1,1,1,3500,1
9/29/2017,CAL,1.01,0.49,1,1,1,1061400,1
10/2/2017,CAL,1.01,0.49,1,1,1,500,1
10/3/2017,CAL,1.01,0.49,1,1,1,2800,1
10/4/2017,CAL,1.01,0.49,1,1,1,1400,1
10/5/2017,CAL,1.01,0.49,1,1,1.01,1820600,1.01
10/6/2017,CAL,1.01,0.49,1.01,1.01,1.01,4300,1.01
10/9/2017,CAL,1.01,0.49,1.01,1.01,1.01,200,1.01
10/10/2017,CAL,1.01,0.49,1.01,1.01,1,2900,1
10/11/2017,CAL,1.01,0.49,1,1,1,19600,1.01
10/12/2017,CAL,1.01,0.49,1,1,1,202100,1.01
10/13/2017,CAL,1.01,0.49,1,1,1.01,5200,1.01
10/16/2017,CAL,1.01,0.49,1.01,1.01,1.01,4091100,1.01
10/17/2017,CAL,1.01,0.49,1.01,1.01,1.01,1052600,1.01
10/18/2017,CAL,1.06,0.49,1.01,1.01,1.05,6700,1.06
10/19/2017,CAL,1.06,0.49,1.05,1.05,1.05,0,1.06
10/20/2017,CAL,1.06,0.49,1.05,1.05,1.05,0,1.06
10/23/2017,CAL,1.06,0.49,1.05,1.05,1.05,0,1.06
10/24/2017,CAL,1.06,0.49,1.05,1.05,1.05,1800,1.06
10/25/2017,CAL,1.06,0.49,1.05,1.05,1.05,8600,1.06
10/26/2017,CAL,1.06,0.49,1.05,1.05,1.05,0,1.06
